BENE_GEO_DESC,TOT_MDCR_STDZD_PYMT_PC,TOT_MDCR_PYMT_PC,BENE_AVG_RISK_SCRE,IP_CVRD_STAYS_PER_1000_BENES,ER_VISITS_PER_1000_BENES,MA_PRTCPTN_RATE,BENE_DUAL_PCT,BENES_TOTAL_CNT,BENES_FFS_CNT
IA,0.5422241025401598,0.4437729670607028,0.3511904761904763,0.5197423316753449,0.4876624154635376,0.23621206688614363,0.2910491277515914,0.009896405943936412,0.013252974309569192
ID,0.46378025083039287,0.3704795948865497,0.2414021164021165,0.26409268748485615,0.3659837917876594,0.3751059356563121,0.27916808396909454,0.005034748170755572,0.005273269883322036
IL,0.7916667559829306,0.7465119921770714,0.5443121693121695,0.8575324423337738,0.5307010512126091,0.28870725903712635,0.2450556392438894,0.03622865995103956,0.042466084887185576
IN,0.7316884710758299,0.6167614134014096,0.5138888888888891,0.7559608979965826,0.6101533393065894,0.34071759183806505,0.337625734972545,0.02025755590923457,0.023165619009815775
KS,0.7220577379715957,0.5642370373593538,0.39616402116402116,0.7104821085617767,0.5172978849457548,0.2077642687180156,0.11073181398513032,0.008422989911243028,0.011473440537050222
KY,0.6495183274097917,0.497141158724021,0.4378306878306879,0.7300741007829066,0.5836410293144667,0.3674867172984777,0.33570630254142564,0.014872368863885706,0.016177970033028573
LA,0.9708190956673385,0.7618947246108841,0.6197089947089947,0.8544420563311914,0.7571600908364755,0.4153166661234068,0.5185990572914135,0.013834448704034639,0.013924834349378199
MA,0.6508273814282156,0.7937362031780014,0.4550264550264551,0.8395662025616126,0.6192003487874695,0.2488184099872877,0.6050342582244036,0.02137431435680638,0.025581444241091007
MD,0.7754774207003593,0.9815384966608599,0.5337301587301588,0.7342423899906896,0.5583510838954211,0.12937188304703545,0.2499028135477913,0.016530568171760598,0.02277845038222883
ME,0.47457045717396695,0.427760958322445,0.28968253968253976,0.3848604324188154,0.6247541316294785,0.3384562730206331,0.715280139948491,0.005196041100096061,0.005432590885092222
